NC_008781	Methanocorpusculum_labreanum_Z
NC_007963	Rubrobacter_xylanophilus_DSM_9941
NC_004719	Burkholderia_phytofirmans_PsJN
NC_008787	Campylobacter_jejuni_subsp._jejuni_81_176
NC_004431	Escherichia_coli_CFT073
NC_010158	Xanthomonas_oryzae_pv._oryzae_MAFF_311018
NC_010498	Helicobacter_pylori_HPAG1
NC_008767	Ralstonia_eutropha_H16
NC_009669	Nitrobacter_hamburgensis_X14
NC_009663	Pseudomonas_mendocina_ymp
NC_007948	Psychrobacter_cryohalolentis_K5
NC_006570	Klebsiella_pneumoniae_subsp._pneumoniae_MGH_78578
NC_009997	Staphylococcus_aureus_subsp._aureus_USA300_TCH1516
NC_010632	Elusimicrobium_minutum_Pei191
NC_003228	Bacteroides_fragilis_NCTC_9343
NC_010830	Citrobacter_koseri_ATCC_BAA_895
NC_008820	Ralstonia_eutropha_JMP134
NC_006361	Clostridium_acetobutylicum_ATCC_824
NC_003267	Polaromonas_naphthalenivorans_CJ2
NC_009782	Streptococcus_pneumoniae_D39
NC_009443	Yersinia_pestis_KIM_10
NC_010397	Corynebacterium_urealyticum_DSM_7109
NC_009974	Bacillus_weihenstephanensis_KBAB4
NC_009665	Staphylococcus_aureus_subsp._aureus_str._Newman
NC_009085	Acidovorax_sp._JS42
NC_011374	Acaryochloris_marina_MBIC11017
NC_004460	Acaryochloris_marina_MBIC11017
NC_005090	Natranaerobius_thermophilus_JW_NM_WN_LF
NC_010104	Rickettsia_prowazekii_str._Madrid_E
NC_010103	Rickettsia_felis_URRWXCal2
NC_009654	Nitrobacter_hamburgensis_X14
NC_008600	Bacillus_thuringiensis_str._Al_Hakam
NC_010520	Clostridium_botulinum_A3_str._Loch_Maree
NC_003112	Ralstonia_eutropha_H16
NC_008703	Chlorobium_phaeovibrioides_DSM_265
NC_004344	Pectobacterium_atrosepticum_SCRI1043
NC_008347	Janthinobacterium_sp._Marseille
NC_007941	Helicobacter_pylori_P12
NC_002662	Leptospira_interrogans_serovar_Copenhageni_str._Fiocruz_L1_130
NC_009800	Francisella_tularensis_subsp._tularensis_WY96_3418
NC_000961	Rhodococcus_jostii_RHA1
NC_007972	Pseudoalteromonas_haloplanktis_TAC125
NC_009838	Escherichia_coli_APEC_O1
